video_id,title,description,channel_id,channel_title,published_at,category_id,duration,definition,caption_status,live_broadcast_content,tags,view_count,like_count,comment_count,favorite_count,data_source,duration_seconds,is_outlier,publication_date,publication_year,publication_month,publication_month_name,publication_day,publication_day_name,publication_hour,posting_time_group,video_duration_seconds,video_duration_minutes,duration_category,total_interactions,engagement_rate,like_rate,comment_rate,video_age_days,views_per_day,likes_per_day,comments_per_day,performance_category
fBbnGbmPIoL,Top 10 NumPy Tips and Tricks,[SYNTHETIC] Top 10 NumPy Tips and Tricks — sample description for demo purposes.,UC_DATA002,DataDriven,2022-01-11 02:17:28+00:00,28,PT6M44S,hd,False,none,NumPy|Machine Learning|Tableau|AI,54448,3123,731,0,SYNTHETIC_SAMPLE,404,False,2022-01-11,2022,1,January,11,Tuesday,7,Morning,404,6.73,Medium,3854,7.0783,5.7357,1.3426,1674,32.53,1.87,0.44,High
cDh7fsO4xme,SQL Full Project Walkthrough,[SYNTHETIC] SQL Full Project Walkthrough — sample description for demo purposes.,UC_PYTH006,PythonPro,2024-10-24 05:41:00+00:00,28,PT4M36S,hd,False,none,Pandas|Power BI,21177,721,91,0,SYNTHETIC_SAMPLE,276,False,2024-10-24,2024,10,October,24,Thursday,11,Morning,276,4.6,Short,812,3.8343,3.4046,0.4297,657,32.23,1.1,0.14,Average
r7PMkUky-OJ,The Ultimate Data Engineering Guide,[SYNTHETIC] The Ultimate Data Engineering Guide — sample description for demo purposes.,UC_BIZA007,BizAnalyst,2024-11-29 12:16:09+00:00,22,PT26M7S,sd,True,none,Data Analytics|Business Intelligence|AI,39157,1406,138,0,SYNTHETIC_SAMPLE,1567,False,2024-11-29,2024,11,November,29,Friday,17,Evening,1567,26.12,Long,1544,3.9431,3.5907,0.3524,621,63.05,2.26,0.22,Average
4PjiVIVBLx-,Advanced Tableau Techniques,[SYNTHETIC] Advanced Tableau Techniques — sample description for demo purposes.,UC_ANAL005,AnalyticsHub,2022-08-03 21:22:52+00:00,28,PT36M29S,sd,True,none,Power BI|Machine Learning,93287,2321,721,0,SYNTHETIC_SAMPLE,2189,False,2022-08-04,2022,8,August,4,Thursday,2,Late Night,2189,36.48,Long,3042,3.2609,2.488,0.7729,1469,63.5,1.58,0.49,Low
3aURIrPhBD9,SQL Full Project Walkthrough,[SYNTHETIC] SQL Full Project Walkthrough — sample description for demo purposes.,UC_CODE003,CodeMaster,2023-02-14 03:51:19+00:00,24,PT12M59S,hd,True,none,Dashboard|Tableau|Machine Learning|Excel,15100,710,220,0,SYNTHETIC_SAMPLE,779,False,2023-02-14,2023,2,February,14,Tuesday,9,Morning,779,12.98,Medium,930,6.1589,4.702,1.457,1275,11.84,0.56,0.17,Average
x-ZppKfU0_I,Advanced Dashboard Techniques,[SYNTHETIC] Advanced Dashboard Techniques — sample description for demo purposes.,UC_CODE003,CodeMaster,2022-07-15 08:41:30+00:00,25,PT2M22S,hd,False,none,NumPy|Dashboard|Deep Learning,15101,667,32,0,SYNTHETIC_SAMPLE,142,False,2022-07-15,2022,7,July,15,Friday,14,Afternoon,142,2.37,Short,699,4.6288,4.4169,0.2119,1489,10.14,0.45,0.02,Average
hovLooeOo53,Tableau Interview Questions and Answers,[SYNTHETIC] Tableau Interview Questions and Answers — sample description for demo purposes.,UC_LEAI004,LearnWithAI,2022-04-21 01:45:12+00:00,25,PT11M22S,hd,False,none,Tableau|Machine Learning|ETL|Power BI|AI,299381,12174,2396,0,SYNTHETIC_SAMPLE,682,True,2022-04-21,2022,4,April,21,Thursday,7,Morning,682,11.37,Medium,14570,4.8667,4.0664,0.8003,1574,190.2,7.73,1.52,Average
3dPPdUZgmIi,How to Master Tableau in 2024,[SYNTHETIC] How to Master Tableau in 2024 — sample description for demo purposes.,UC_SQLE008,SQLExpert,2022-10-13 00:55:47+00:00,24,PT2M50S,sd,False,none,SQL|Data Engineering|Power BI,30139,1048,194,0,SYNTHETIC_SAMPLE,170,False,2022-10-13,2022,10,October,13,Thursday,6,Morning,170,2.83,Short,1242,4.1209,3.4772,0.6437,1399,21.54,0.75,0.14,Average
nzdy-qYDB9-,How to Master Python in 2024,[SYNTHETIC] How to Master Python in 2024 — sample description for demo purposes.,UC_TECH001,TechInsights,2024-05-13 08:32:41+00:00,25,PT31M9S,sd,True,none,Data Science|Tableau|Data Analytics,28464,616,214,0,SYNTHETIC_SAMPLE,1869,False,2024-05-13,2024,5,May,13,Monday,14,Afternoon,1869,31.15,Long,830,2.916,2.1641,0.7518,821,34.67,0.75,0.26,Low
dG2ee3z8KLc,Data Analytics Tutorial for Beginners,[SYNTHETIC] Data Analytics Tutorial for Beginners — sample description for demo purposes.,UC_TECH001,TechInsights,2022-05-08 08:33:46+00:00,22,PT13M34S,sd,False,none,Tableau|Business Intelligence|Pandas|Machine Learning,95879,7129,786,0,SYNTHETIC_SAMPLE,814,False,2022-05-08,2022,5,May,8,Sunday,14,Afternoon,814,13.57,Medium,7915,8.2552,7.4354,0.8198,1557,61.58,4.58,0.5,High
