video_id,title,description,channel_id,channel_title,published_at,category_id,duration,definition,caption_status,live_broadcast_content,tags,view_count,like_count,comment_count,favorite_count,data_source
fBbnGbmPIoL,Top 10 NumPy Tips and Tricks,[SYNTHETIC] Top 10 NumPy Tips and Tricks — sample description for demo purposes.,UC_DATA002,DataDriven,2022-01-11T02:17:28Z,28,PT6M44S,hd,false,none,NumPy|Machine Learning|Tableau|AI,54448,3123,731,0,SYNTHETIC_SAMPLE
cDh7fsO4xme,SQL Full Project Walkthrough,[SYNTHETIC] SQL Full Project Walkthrough — sample description for demo purposes.,UC_PYTH006,PythonPro,2024-10-24T05:41:00Z,28,PT4M36S,hd,false,none,Pandas|Power BI,21177,721,91,0,SYNTHETIC_SAMPLE
r7PMkUky-OJ,The Ultimate Data Engineering Guide,[SYNTHETIC] The Ultimate Data Engineering Guide — sample description for demo purposes.,UC_BIZA007,BizAnalyst,2024-11-29T12:16:09Z,22,PT26M7S,sd,true,none,Data Analytics|Business Intelligence|AI,39157,1406,138,0,SYNTHETIC_SAMPLE
4PjiVIVBLx-,Advanced Tableau Techniques,[SYNTHETIC] Advanced Tableau Techniques — sample description for demo purposes.,UC_ANAL005,AnalyticsHub,2022-08-03T21:22:52Z,28,PT36M29S,sd,true,none,Power BI|Machine Learning,93287,2321,721,0,SYNTHETIC_SAMPLE
3aURIrPhBD9,SQL Full Project Walkthrough,[SYNTHETIC] SQL Full Project Walkthrough — sample description for demo purposes.,UC_CODE003,CodeMaster,2023-02-14T03:51:19Z,24,PT12M59S,hd,true,none,Dashboard|Tableau|Machine Learning|Excel,15100,710,220,0,SYNTHETIC_SAMPLE
x-ZppKfU0_I,Advanced Dashboard Techniques,[SYNTHETIC] Advanced Dashboard Techniques — sample description for demo purposes.,UC_CODE003,CodeMaster,2022-07-15T08:41:30Z,25,PT2M22S,hd,false,none,NumPy|Dashboard|Deep Learning,15101,667,32,0,SYNTHETIC_SAMPLE
hovLooeOo53,Tableau Interview Questions and Answers,[SYNTHETIC] Tableau Interview Questions and Answers — sample description for demo purposes.,UC_LEAI004,LearnWithAI,2022-04-21T01:45:12Z,25,PT11M22S,hd,false,none,Tableau|Machine Learning|ETL|Power BI|AI,299381,12174,2396,0,SYNTHETIC_SAMPLE
3dPPdUZgmIi,How to Master Tableau in 2024,[SYNTHETIC] How to Master Tableau in 2024 — sample description for demo purposes.,UC_SQLE008,SQLExpert,2022-10-13T00:55:47Z,24,PT2M50S,sd,false,none,SQL|Data Engineering|Power BI,30139,1048,194,0,SYNTHETIC_SAMPLE
nzdy-qYDB9-,How to Master Python in 2024,[SYNTHETIC] How to Master Python in 2024 — sample description for demo purposes.,UC_TECH001,TechInsights,2024-05-13T08:32:41Z,25,PT31M9S,sd,true,none,Data Science|Tableau|Data Analytics,28464,616,214,0,SYNTHETIC_SAMPLE
dG2ee3z8KLc,Data Analytics Tutorial for Beginners,[SYNTHETIC] Data Analytics Tutorial for Beginners — sample description for demo purposes.,UC_TECH001,TechInsights,2022-05-08T08:33:46Z,22,PT13M34S,sd,false,none,Tableau|Business Intelligence|Pandas|Machine Learning,95879,7129,786,0,SYNTHETIC_SAMPLE
KgIGiwepsCI,Build a Data Science Dashboard from Scratch,[SYNTHETIC] Build a Data Science Dashboard from Scratch — sample description for demo purposes.,UC_BIZA007,BizAnalyst,2023-04-15T22:39:23Z,27,PT6M14S,hd,false,none,Machine Learning|NumPy,10321,109,98,0,SYNTHETIC_SAMPLE
OqF52fBraXO,Complete Visualization Course — Zero to Hero,[SYNTHETIC] Complete Visualization Course — Zero to Hero — sample description for demo purposes.,UC_DATA002,DataDriven,2023-02-11T22:24:00Z,28,PT8M35S,hd,false,none,Visualization|Python|Power BI|Data Analytics|Statistics,17155,1033,59,0,SYNTHETIC_SAMPLE
t5Y35npgX4A,Data Analytics Project Ideas for Your Resume,[SYNTHETIC] Data Analytics Project Ideas for Your Resume — sample description for demo purposes.,UC_CODE003,CodeMaster,2024-08-22T03:56:17Z,25,PT14M25S,hd,true,none,Excel|Deep Learning|Python,26738,544,62,0,SYNTHETIC_SAMPLE
